,text,class
13,almonds,"[{'id': 'AG.01.h.01.f', 'name': 'Nut'}]"
3926,aloe vera juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
8037,amaretto,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
8731,amaretto liqueur,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
12655,american cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
2743,amish friendship bread starter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
7710,ammonia,"[{'id': 'AG.01', 'name': 'Food'}]"
8190,anise flavored liqueur,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.aj.01', 'name': 'Drinking vessel'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}]"
2583,apple,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
4745,apple cider,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.y.01.c', 'name': 'Cider'}]"
4746,apple cider,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}, {'id': 'AG.01.y.01.c', 'name': 'Cider'}]"
9704,apple cider vinegar,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
6185,apple filling,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
11674,apple jelly,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.n.04', 'name': 'Jelly'}]"
2793,apple juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}]"
8298,apple juice concentrate,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.o', 'name': 'Animal food'}]"
2806,apple mixture,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
5894,apple pie filling,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
2894,apple pie spice,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.l.03', 'name': 'Spice'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
5169,apple slices,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
11680,apple-onion mixture,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}, {'id': 'AG.01.h.02.e', 'name': 'Onion/leek/garlic'}]"
2384,apples,"[{'id': 'AG.01.h.01.c', 'name': 'Apple'}]"
717,applesauce,"[{'id': 'AG.01', 'name': 'Food'}]"
2857,applesauce mixture,"[{'id': 'AG.01', 'name': 'Food'}]"
6464,apricot filling,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
11719,apricot jam,"[{'id': 'AG.01.n.18', 'name': 'Preserve'}]"
4526,apricot nectar,"[{'id': 'AG.01.y', 'name': 'Drink'}]"
11599,apricot preserves,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
6456,apricots,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
9,artichoke hearts,"[{'id': 'AG.01.h.02.b', 'name': 'Stalk vegetables'}]"
2304,artichokes,"[{'id': 'AG.01.h.02.b', 'name': 'Stalk vegetables'}]"
4102,asada seasoning,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
2718,asiago cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
2698,asparagus,"[{'id': 'AG.01.h.02.b', 'name': 'Stalk vegetables'}]"
3629,asparagus pieces,"[{'id': 'AG.01.h.02.b', 'name': 'Stalk vegetables'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
339,assorted crackers,"[{'id': 'AG.01', 'name': 'Food'}]"
12469,au jus mix,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
377,avocado,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
1671,avocado pieces,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
706,avocados,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
250,bacon,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
330,bacon bits,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
2672,bacon drippings,"[{'id': 'AG.01.d.05', 'name': 'Pork'}, {'id': 'AG.01.f', 'name': 'Fat/oil'}]"
11300,bacon fat,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
4210,bacon grease,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
2373,bacon mixture,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
244,bacon slice,"[{'id': 'AG.01.d.05', 'name': 'Pork'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
243,bacon slices,"[{'id': 'AG.01.d.05', 'name': 'Pork'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
2569,bacon strips,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
248,bacon wraps,"[{'id': 'AG.01.d.05', 'name': 'Pork'}]"
246,bacon-wrapped chicken pieces,"[{'id': 'AG.01.d.06', 'name': 'Fowls'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
1463,bacon-wrapped peppers,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
1142,bagel,"[{'id': 'AG.01', 'name': 'Food'}]"
1136,bagel half,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
1295,baguette,"[{'id': 'AG.01', 'name': 'Food'}]"
1397,baguette slices,"[{'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
11471,baked beans,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
282,baked chicken wings,"[{'id': 'AG.01.d.06', 'name': 'Fowls'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
2722,baked croissants,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
6424,baked crust,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
2050,baked eggs,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
4280,baked frittata,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
1922,baked meatballs,"[{'id': 'AG.01.t.07', 'name': 'Cooking'}]"
12290,baked pie crusts,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
5440,baked pie shell,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.o', 'name': 'Animal food'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
877,baking mix,"[{'id': 'AG.01', 'name': 'Food'}]"
435,baking powder,"[{'id': 'AG.01', 'name': 'Food'}]"
572,baking soda,"[{'id': 'AG.01.aa', 'name': 'Aerated/carbonated drink'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
4718,baking soda solution,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
6187,ball,"[{'id': 'AG.01', 'name': 'Food'}]"
352,balsamic vinegar,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
12053,balsamic vinegar-root beer mixture,"[{'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}, {'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.l', 'name': 'Additive'}]"
611,bamboo shoots,"[{'id': 'AG.01.h.02.c', 'name': 'Leaf vegetables'}]"
2339,banana,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}]"
2863,banana batter,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
8666,banana liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
2613,banana mixture,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}]"
189,banana peppers,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.l.03', 'name': 'Spice'}]"
7122,banana slices,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
4544,banana-sugar mixture,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}, {'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}]"
2508,bananas,"[{'id': 'AG.01.h.01', 'name': 'Fruit/a fruit'}]"
11355,barbecue sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.r.04', 'name': 'Picnic/packed meal'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
1825,barbeque sauce,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}]"
2219,bars,"[{'id': 'AG.01', 'name': 'Food'}]"
738,basil,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}, {'id': 'AF.20.e', 'name': 'Particular vegetables'}]"
4241,basil leaves,"[{'id': 'AF.12', 'name': 'Particular plants/herbs/shrubs'}, {'id': 'AF.20.e', 'name': 'Particular vegetables'}]"
142,batter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
7420,batter,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
6103,batter mixture,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
9921,battered chicken pieces,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.d.06', 'name': 'Fowls'}]"
1756,bay leaf,"[{'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
11851,bay leaves,"[{'id': 'AF.13', 'name': 'Particular tree/shrub'}]"
11481,bean,"[{'id': 'AF.20.f', 'name': 'Pulses/plants producing pulses'}]"
700,bean dip,"[{'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
385,bean mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}]"
613,bean sprouts,"[{'id': 'AF.06', 'name': 'Plants defined by growth/development'}, {'id': 'AF.10.b', 'name': 'Shoot/sprout/branch'}, {'id': 'AF.10.i', 'name': 'Seed'}, {'id': 'AF.20.f', 'name': 'Pulses/plants producing pulses'}]"
40,beans,"[{'id': 'AF.20.f', 'name': 'Pulses/plants producing pulses'}]"
1071,beaten egg,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
5439,beaten egg whites,"[{'id': 'AG.01.g', 'name': 'Eggs'}, {'id': 'AG.01.k', 'name': 'Flour'}]"
5073,beaten egg yolks,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
2316,beaten eggs,"[{'id': 'AG.01.g', 'name': 'Eggs'}]"
5830,beaten yolks,"[{'id': 'AG.01', 'name': 'Food'}]"
1,beef,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
1723,beef bouillon,"[{'id': 'AG.01.d.03', 'name': 'Beef'}, {'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
11928,beef brisket,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
10515,beef broth,"[{'id': 'AG.01.d.03', 'name': 'Beef'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
12529,beef chuck roast,"[{'id': 'AG.01.n.06', 'name': 'Meat dishes'}, {'id': 'AG.01.d.03', 'name': 'Beef'}]"
11821,beef cubes,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
182,beef mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.d.03', 'name': 'Beef'}]"
10259,beef roast,"[{'id': 'AG.01.d.03', 'name': 'Beef'}, {'id': 'AG.01.n.06', 'name': 'Meat dishes'}]"
4101,beef slices,"[{'id': 'AG.01.d.03', 'name': 'Beef'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
4106,beef strips,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
12358,beef tenderloin,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
634,beer,"[{'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}]"
11539,beer mixture,"[{'id': 'AG.01.y.01.b', 'name': 'Ale/beer'}]"
96,beet juice,"[{'id': 'AG.01.ab', 'name': 'Fruit juice/squash'}, {'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
103,beets,"[{'id': 'AG.01', 'name': 'Food'}]"
780,bell pepper,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
4642,bell pepper ring,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
3409,bell peppers,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
5342,berries,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
8884,berry smoothie,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
10937,beurre blanc,"[{'id': 'AG.01.h.01.d', 'name': 'Pear'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
9562,bird,"[{'id': 'AE.13', 'name': 'Class Aves (birds)'}]"
6941,biscotti,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}]"
181,biscuit,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}, {'id': 'AG.01.n.14', 'name': 'Biscuit'}]"
180,biscuits,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.13', 'name': 'Cake'}, {'id': 'AG.01.n.14', 'name': 'Biscuit'}]"
8194,bitters,"[{'id': 'AG.01', 'name': 'Food'}]"
1241,black beans,"[{'id': 'AG.01.h.02.g', 'name': 'Pulse'}]"
5584,black decorating gel,"[{'id': 'AG.01', 'name': 'Food'}]"
491,black olives,"[{'id': 'AG.01.h.01.e', 'name': 'Fruit containing stone'}]"
376,black pepper,"[{'id': 'AG.01', 'name': 'Food'}]"
11850,black peppercorns,"[{'id': 'AG.01.l.03', 'name': 'Spice'}]"
345,black-eyed peas,"[{'id': 'AG.01.h.02.g', 'name': 'Pulse'}]"
6477,blackberries,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
6482,blackberry mixture,"[{'id': 'AG.01.h.01.b', 'name': 'Berry'}]"
2302,blended pesto,"[{'id': 'AG.01', 'name': 'Food'}]"
3833,blended sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
281,blue cheese,"[{'id': 'AG.01', 'name': 'Food'}]"
273,blue cheese dressing,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}]"
9081,blue curacao,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
1532,blueberries,"[{'id': 'AG.01', 'name': 'Food'}]"
7843,blueberry,"[{'id': 'AG.01', 'name': 'Food'}]"
10897,boiled marinade,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
11257,boiling sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
201,boiling water,"[{'id': 'AG.01.z', 'name': 'Water'}]"
615,bok choy,"[{'id': 'AG.01.h.02.c', 'name': 'Leaf vegetables'}]"
898,bone,"[{'id': 'AG.01', 'name': 'Food'}]"
1231,bones,"[{'id': 'AG.01', 'name': 'Food'}]"
1075,boudin balls,"[{'id': 'AG.01.n.05', 'name': 'Sausage'}]"
9640,bouillon,"[{'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
10010,bouillon cube,"[{'id': 'AG.01.n.02', 'name': 'Soup/pottage'}]"
5409,bourbon,"[{'id': 'AG.01', 'name': 'Food'}]"
5412,bourbon,"[{'id': 'AG.01', 'name': 'Food'}]"
12578,brandied orange liqueur,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.ah', 'name': 'Preparation of drinks'}, {'id': 'AG.01.ak', 'name': 'Drinking'}, {'id': 'AG.01.n.17.a', 'name': 'Sweets'}, {'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
8446,brandy,"[{'id': 'AG.01.y.01.e', 'name': 'Brandy'}]"
11532,bratwurst,"[{'id': 'AG.01', 'name': 'Food'}]"
657,bread,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2123,bread crumb mixture,"[{'id': 'AG.01.af', 'name': 'Tea manufacture'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
156,bread crumbs,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
3998,bread cubes,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
3617,bread mixture,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2426,bread pocket,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
6379,bread pudding,"[{'id': 'AG.01', 'name': 'Food'}]"
1298,bread rounds,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2286,bread slices,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.t.08', 'name': 'Equipment for food preparation'}]"
11619,breadcrumb mixture,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
960,breadcrumbs,"[{'id': 'AG.01', 'name': 'Food'}]"
1073,breaded ball,"[{'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
12767,breaded chicken,"[{'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}, {'id': 'AG.01.d.06', 'name': 'Fowls'}]"
11621,breaded chicken breasts,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}, {'id': 'AG.01.d.06', 'name': 'Fowls'}, {'id': 'AG.01.s', 'name': 'Providing/receiving food'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
9547,breast,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
11223,breast meat,"[{'id': 'AG.01', 'name': 'Food'}, {'id': 'AG.01.d', 'name': 'Animals for food'}, {'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
9553,breast skin,"[{'id': 'AG.01.d.02', 'name': 'Part/joint of animal'}]"
9133,brewed coffee,"[{'id': 'AG.01.ag', 'name': 'Coffee manufacture'}, {'id': 'AG.01.ad', 'name': 'Coffee'}]"
1300,brie cheese,"[{'id': 'AG.01.e.02', 'name': 'Cheese'}, {'id': 'AG.01.n.18', 'name': 'Preserve'}]"
444,brine,"[{'id': 'AG.01', 'name': 'Food'}]"
1258,broccoli,"[{'id': 'AG.01', 'name': 'Food'}]"
1689,broth,"[{'id': 'AG.01', 'name': 'Food'}]"
379,brown beef,"[{'id': 'AG.01.d.03', 'name': 'Beef'}]"
12051,brown crust,"[{'id': 'AG.01.n.11', 'name': 'Bread'}, {'id': 'AG.01.n.15', 'name': 'Pastry'}]"
10511,brown gravy,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
10258,brown gravy mix,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
11157,brown rice,"[{'id': 'AG.01', 'name': 'Food'}]"
97,brown sugar,"[{'id': 'AG.01', 'name': 'Food'}]"
573,brown sugar mixture,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
6025,brown sugars,"[{'id': 'AG.01.l.02', 'name': 'Sweetener (syrup/honey/chocolate)'}]"
5677,browned butter,"[{'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.e.01', 'name': 'Butter'}]"
10507,browned meatballs,"[{'id': 'AG.01', 'name': 'Food'}]"
11804,browned sausage,"[{'id': 'AG.01.n.05', 'name': 'Sausage'}]"
11660,browned tenderloin,"[{'id': 'AG.01', 'name': 'Food'}]"
2817,buckwheat,"[{'id': 'AG.01.i', 'name': 'Corn/cereals/grain'}]"
1660,buffalo wing sauce,"[{'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}]"
9815,bun,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
9818,buns,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
1943,burgers,"[{'id': 'AG.01', 'name': 'Food'}]"
8073,burgundy wine,"[{'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
2923,burrito,"[{'id': 'AG.01', 'name': 'Food'}]"
4127,burrito,"[{'id': 'AG.01', 'name': 'Food'}]"
2924,burritos,"[{'id': 'AG.01', 'name': 'Food'}]"
223,butter,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
11473,butter beans,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
6173,butter brown,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
8360,butter flavoring,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
544,butter mixture,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
5789,butter pieces,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}, {'id': 'AG.01.n.11', 'name': 'Bread'}]"
6581,butter sauce,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
6575,butter sauce,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.h', 'name': 'Fruit and vegetables'}, {'id': 'AG.01.l.04', 'name': 'Sauce/dressing'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
11739,butter-margarine blend,"[{'id': 'AG.01.f', 'name': 'Fat/oil'}]"
12009,butter/margarine,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
6950,buttered pastry,"[{'id': 'AG.01.n.15', 'name': 'Pastry'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}, {'id': 'AG.01.t.07', 'name': 'Cooking'}]"
2264,buttered phyllo,"[{'id': 'AG.01.n.11', 'name': 'Bread'}]"
2618,buttermilk,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
2844,buttermilk batter,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
2838,buttermilk mixture,"[{'id': 'AG.01.e', 'name': 'Dairy produce'}]"
5638,butterscotch chips,"[{'id': 'AE.14.m.03', 'name': 'Subfamily Bovinae (bovines)'}]"
3719,butterscotch pudding mix,"[{'id': 'AG.01.n.03', 'name': 'Puddings'}, {'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
8359,butterscotch schnapps,"[{'id': 'AG.01.y.01', 'name': 'Intoxicating liquor'}]"
5590,buttery spread,"[{'id': 'AG.01.e.01', 'name': 'Butter'}, {'id': 'AG.01.n', 'name': 'Dishes and prepared food'}]"
132,cabbage,"[{'id': 'AG.01.h.02.d', 'name': 'Cabbage/kale'}]"
8265,cabernet sauvignon wine,"[{'id': 'AG.01.ae.01', 'name': 'Wine-making'}, {'id': 'AG.01.y.01.a', 'name': 'Wine'}]"
8738,cacao powder,"[{'id': 'AG.01.m', 'name': 'Substances for food preparation'}]"
414,cajun seasoning,"[{'id': 'AG.01.l', 'name': 'Additive'}, {'id': 'AG.01.t.05', 'name': 'Preparation for table/cooking'}]"
2577,cake,"[{'id': 'AG.01.n.13', 'name': 'Cake'}]"
